Sprint 1,,,
Priority,Item,Estimated initial size,Residual size
1,Play basic round,51,1
2,Play multiple rounds,15,0
,,,
Sprint 2,,,
Priority,Item,Estimated initial size,Residual size
1,After round screen,7,0
2,Joker cards,25,14
3,Planet cards,4,0
4,Card packs,6,0
5,Shop with default packs,9,0
6,Playing hand animations,12,0
7,Sorting hand cards,6,0
8,Advanced testing techniques,6,0
,,,
Sprint 3,,,
Priority,Item,Estimated initial size,Residual size
1,Refactor model-view architecture,20,5
2,Shop with default packs,3,0
3,Joker cards,15,2
4,DSL for fast setup of game,17,2
5,Random number generation,22,6
6,Hint for best hand to play,9,3
7,Sorting hand cards,2,0
,,,
,,,
Sprint 4,,,
Priority,Item,Estimated initial size,Residual size
1,Refactor model-view architecture,5,0
2,Trackable effects during score calculation,15,0
3,Joker cards,2,0
4,Game menu for informations,10,0
5,Boss blind,10,0
6,Hint for best hand to play,3,0
7,DSL for fast setup of game,2,0
8,Random number generation,11,0
